# 泰迪杯赛事信息摘要

## 基本信息

泰迪杯全称是"泰迪杯数据挖掘挑战赛"，是全国大学生数据挖掘竞赛，旨在培养学生数据分析和挖掘能力，提高创新实践水平。

## 2024年（第12届）泰迪杯赛事信息

### 比赛主题
"泰迪杯"数据挖掘挑战赛，是以大数据分析和人工智能为技术核心的竞赛活动。

### 参赛对象
全国高校在校大学生（包括高职高专、本科和研究生）

### 组别设置
- A组：研究生组
- B组：本科生组
- C组：高职高专组

### 赛题类型
1. 开放式挖掘类：基于数据挖掘的创新应用
2. 建模预测类：数据驱动的预测模型构建
3. 实证分析类：数据支持的实证分析研究
4. 智能系统类：人工智能技术应用系统

### 报名时间
2024年3月1日至2024年6月15日

### 作品提交截止时间
2024年6月15日

### 评审环节
1. 初评：筛选优秀作品
2. 终评：确定获奖等级

### 评审标准
1. 技术实现：算法合理性、代码规范性
2. 创新性：问题解决思路的创新
3. 实用性：解决实际问题的有效性
4. 表达能力：报告的逻辑性和条理性

### 作品要求
- 技术报告：包含问题分析、模型构建、算法实现等
- 源代码：完整、规范的代码文件
- 数据集：必要的数据及处理过程
- 演示视频：作品的功能演示（可选）

### 奖项设置
- 一等奖：10%
- 二等奖：20%
- 三等奖：30%
- 优秀奖：40%

## 附件2相关信息

附件2是泰迪杯竞赛的数据集文件，包含了参赛选手需要分析和处理的数据。数据集采用PDF表格形式提供，需要选手自行提取和处理。

### 数据类型
- 结构化表格数据
- 文本描述数据
- 分类数据
- 时序数据

### 数据处理建议
1. 使用PDF表格提取工具（如pdfplumber）提取数据
2. 进行数据清洗和预处理
3. 使用适当的特征工程方法
4. 选择合适的模型进行分析和预测

### 评分重点
对附件2数据的有效提取和分析是评分的重要环节，建议参赛选手重点关注数据质量和分析方法的合理性。
